"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 10 09:47:31 MSK 2023","Tue Jan 10 09:47:43 MSK 2023","11231","","my first test","","","","open unsplash",""
"passed","Mon Dec 19 13:06:20 MSK 2022","Mon Dec 19 13:06:20 MSK 2022","881","","test API Swapi","","","","get test",""
"passed","Tue Jan 10 09:48:44 MSK 2023","Tue Jan 10 09:48:56 MSK 2023","12170","","my negative test","","","","Registration without '@'",""
"passed","Tue Jan 10 09:49:09 MSK 2023","Tue Jan 10 09:49:19 MSK 2023","10462","","my negative test","","","","Entering incorrect characters in the Username registration field",""
"passed","Tue Jan 10 09:49:31 MSK 2023","Tue Jan 10 09:49:36 MSK 2023","4718","","checking the operation of the header","","","","open street photography",""
"failed","Tue Jan 10 09:48:08 MSK 2023","Tue Jan 10 09:48:14 MSK 2023","5738","","my negative test","","","","Search for a photo with an error in the name",""
"failed","Tue Jan 10 09:50:24 MSK 2023","Tue Jan 10 09:50:28 MSK 2023","4612","","Displaying internal elements of a photo","","","","Checking the like element and the download element",""
"passed","Tue Jan 10 09:47:52 MSK 2023","Tue Jan 10 09:47:57 MSK 2023","5701","","my negative test","","","","bad request",""
"failed","Tue Jan 10 09:50:37 MSK 2023","Tue Jan 10 09:50:46 MSK 2023","8290","","Assert","","","","Scroll",""
"passed","Tue Jan 10 09:50:54 MSK 2023","Tue Jan 10 09:50:59 MSK 2023","4867","","test input","","","","open street photography",""
"passed","Tue Jan 10 09:48:25 MSK 2023","Tue Jan 10 09:48:34 MSK 2023","8776","","my negative test","","","","Checking an empty registration form",""
"passed","Tue Jan 10 09:51:07 MSK 2023","Tue Jan 10 09:51:16 MSK 2023","8308","","my negative test","","","","login to personal account by one field login",""
"passed","Tue Jan 10 09:51:23 MSK 2023","Tue Jan 10 09:51:31 MSK 2023","7862","","my negative test","","","","login to personal account by one field password",""
"passed","Tue Jan 10 09:49:43 MSK 2023","Tue Jan 10 09:49:52 MSK 2023","8526","","Assert","","","","assert web test",""
